,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
119,KEGG,KEGG:04721,Synaptic vesicle cycle,0.00030891194688705703,True,Synaptic vesicle cycle,78,240,12,8001,1.05,0.15384615384615385,query_1,['KEGG:00000']
311,KEGG,KEGG:04072,Phospholipase D signaling pathway,0.04608633051311241,True,Phospholipase D signaling pathway,147,240,13,8001,1.0541666666666667,0.08843537414965986,query_1,['KEGG:00000']
138,KEGG,KEGG:04724,Glutamatergic synapse,0.0007220621386726017,True,Glutamatergic synapse,114,240,14,8001,1.0583333333333333,0.12280701754385964,query_1,['KEGG:00000']
71,KEGG,KEGG:04725,Cholinergic synapse,2.204000970554535e-05,True,Cholinergic synapse,113,240,16,8001,1.0666666666666667,0.1415929203539823,query_1,['KEGG:00000']
173,REAC,REAC:R-HSA-264642,Acetylcholine Neurotransmitter Release Cycle,0.0022558796318835066,True,Acetylcholine Neurotransmitter Release Cycle,16,325,6,10543,2.0184615384615383,0.375,query_1,['REAC:R-HSA-112310']
167,REAC,REAC:R-HSA-210500,Glutamate Neurotransmitter Release Cycle,0.0017732523502225167,True,Glutamate Neurotransmitter Release Cycle,23,325,7,10543,2.0215384615384617,0.30434782608695654,query_1,['REAC:R-HSA-112310']
102,REAC,REAC:R-HSA-181430,Norepinephrine Neurotransmitter Release Cycle,0.00016505377035657206,True,Norepinephrine Neurotransmitter Release Cycle,17,325,7,10543,2.0215384615384617,0.4117647058823529,query_1,['REAC:R-HSA-112310']
239,REAC,REAC:R-HSA-6814122,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,0.01577883867417167,True,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,42,325,8,10543,2.0246153846153847,0.19047619047619047,query_1,['REAC:R-HSA-390466']
86,REAC,REAC:R-HSA-212676,Dopamine Neurotransmitter Release Cycle,7.325525404602704e-05,True,Dopamine Neurotransmitter Release Cycle,22,325,8,10543,2.0246153846153847,0.36363636363636365,query_1,['REAC:R-HSA-112310']
64,REAC,REAC:R-HSA-181429,Serotonin Neurotransmitter Release Cycle,6.375021937117175e-06,True,Serotonin Neurotransmitter Release Cycle,17,325,8,10543,2.0246153846153847,0.47058823529411764,query_1,['REAC:R-HSA-112310']
211,REAC,REAC:R-HSA-112310,Neurotransmitter release cycle,0.008252912834940231,True,Neurotransmitter release cycle,50,325,9,10543,2.0276923076923077,0.18,query_1,['REAC:R-HSA-112315']
113,REAC,REAC:R-HSA-1296071,Potassium Channels,0.0002444177187707072,True,Potassium Channels,103,325,15,10543,2.046153846153846,0.14563106796116504,query_1,['REAC:R-HSA-112316']
216,REAC,REAC:R-HSA-5576891,Cardiac conduction,0.009012182098313826,True,Cardiac conduction,137,325,15,10543,2.046153846153846,0.10948905109489052,query_1,['REAC:R-HSA-397014']
210,REAC,REAC:R-HSA-397014,Muscle contraction,0.008206016730064403,True,Muscle contraction,205,325,19,10543,2.0584615384615383,0.09268292682926829,query_1,['REAC:0000000']
69,REAC,REAC:R-HSA-112315,Transmission across Chemical Synapses,1.2228210653010345e-05,True,Transmission across Chemical Synapses,259,325,27,10543,2.083076923076923,0.10424710424710425,query_1,['REAC:R-HSA-112316']
23,REAC,REAC:R-HSA-112316,Neuronal System,9.588259196717997e-10,True,Neuronal System,400,325,42,10543,2.129230769230769,0.105,query_1,['REAC:0000000']
